subject_id,game_master,treatment,session,ll_E,post_E,ll_L1,post_L1,ll_L2,post_L2,ll_L3,post_L3,ll_D1,post_D1,ll_D2,post_D2,ll_S,post_S,t_hat,posterior_entropy,max_posterior,w_deep,cat,margin_L1_L2,margin_L2_L3
01_01,1,Baseline,1,-74.44076720355729,2.9152023451361547e-12,-47.8796867857246,0.9999985344395943,-78.4534236796677,5.2722274664639435e-14,-61.323896548313535,1.4496169220149275e-06,-67.40927964509149,3.299171947607408e-09,-70.54544884914829,1.4334546943951303e-10,-66.07738265248975,1.2497998414165089e-08,L1,2.1249709790740197e-05,0.9999985344395943,1.462261233823152e-06,shallow,0.9999985344395416,-1.4496168692926528e-06
01_01,2,Baseline,1,-74.76270373524122,9.570673620582566e-14,-44.785216049601964,0.9999999754859116,-79.67251192877043,7.057321469221716e-16,-62.38937451393924,2.262617332919073e-08,-68.33060906111452,5.947928376458839e-11,-71.33306563527665,2.954033444286058e-12,-64.90669077827319,1.8253852921916543e-09,L1,4.610400534983041e-07,0.9999999754859116,2.4454609067295025e-08,shallow,0.9999999754859109,-2.2626172623458583e-08
01_01,3,Baseline,1,-76.71638158228045,2.983673780421761e-13,-47.87593079601036,0.9999999307978676,-81.80747468836935,1.8353449240454845e-15,-64.38018872393546,6.796601764973596e-08,-71.42132380752291,5.947928110657548e-11,-73.43803134096831,7.916272901110764e-12,-68.4435452112456,1.1684187657969022e-09,L1,1.2165738939671983e-06,0.9999999307978676,6.914265289115694e-08,shallow,0.9999999307978658,-6.796601581439103e-08
01_01,4,Baseline,1,-76.96218986610066,2.8095992778078023e-13,-48.061625593884166,0.9999999307080386,-81.46804700145267,3.102955107932795e-15,-64.5881346886043,6.64703958221069e-08,-70.58761265067838,1.6484967365083828e-10,-73.56007217093325,8.43655854049653e-12,-67.81108850577642,2.6479952804405117e-09,L1,1.22404879376854e-06,0.9999999307080386,6.91271117239708e-08,shallow,0.9999999307080355,-6.64703927191518e-08
01_01,5,Baseline,1,-77.06222733048246,1.1472908824978973e-13,-47.26602455740289,0.9999999730276682,-81.69185191968974,1.1195748395033475e-15,-64.72603447213747,2.6134489930132615e-08,-70.81141756891543,5.947928361837466e-11,-73.78387708917032,3.043988180747334e-12,-68.24392109349807,7.752027072236556e-10,L1,5.010275478315099e-07,0.9999999730276682,2.6912852474200106e-08,shallow,0.9999999730276671,-2.6134488810557774e-08
01_01,6,Baseline,1,-74.8684036213362,1.8426147321177396e-12,-47.848568539191334,0.9999995791651769,-79.49802821054347,1.79810118292388e-14,-62.532210762991205,4.1973484576814523e-07,-69.31232944456198,4.768775692588558e-10,-71.59005338002405,4.888819001180962e-11,-69.12983730557588,5.723507076222743e-10,L1,6.607698185595575e-06,0.9999995791651769,4.2035794526152327e-07,shallow,0.9999995791651589,-4.197348277871334e-07
01_01,7,Baseline,1,-76.08506176615639,5.586771514897392e-13,-47.8718572637415,0.9999998672850884,-80.38287405481803,7.597045875368617e-15,-63.7488689078114,1.2726277714344623e-07,-70.26064556567256,1.8909181320961465e-10,-72.80353886210868,1.4869905194749248e-11,-66.93735087185968,5.2476066481286755e-09,L1,2.2579360033712404e-06,0.9999998672850884,1.32525819970967e-07,shallow,0.9999998672850808,-1.2726276954640036e-07
01_01,8,Baseline,1,-76.08506176615639,5.586771514897392e-13,-47.8718572637415,0.9999998672850884,-80.38287405481803,7.597045875368617e-15,-63.7488689078114,1.2726277714344623e-07,-70.26064556567256,1.8909181320961465e-10,-72.80353886210868,1.4869905194749248e-11,-66.93735087185968,5.2476066481286755e-09,L1,2.2579360033712404e-06,0.9999998672850884,1.32525819970967e-07,shallow,0.9999998672850808,-1.2726276954640036e-07
01_01,9,Baseline,1,-77.08866156697167,2.299300119581414e-13,-47.98766018900033,0.9999999498423081,-80.13308029057002,1.0950183818325532e-14,-64.90355415462024,4.503193123650753e-08,-71.22605175190367,8.085274222337334e-11,-74.18088039969116,4.211424093899898e-12,-67.09342952673408,5.040455470116717e-09,L1,9.102110882129446e-07,0.9999999498423081,5.0076839010913924e-08,shallow,0.9999999498422971,-4.5031920286323715e-08
01_01,10,Baseline,1,-73.25846605751371,3.1042235640586687e-12,-46.76020868961395,0.999999876201997,-77.90056395674782,2.9916824186663925e-14,-62.681534221594674,1.217463985914721e-07,-67.0809552911609,1.4955875080241867e-09,-70.01447601252417,7.957927297807045e-11,-68.23149289781342,4.733034773567993e-10,L1,2.1046496890168224e-06,0.999999876201997,1.223024154821952e-07,shallow,0.9999998762019672,-1.217463686746479e-07
