game_master,L_i,U_i,p_i,L_j,U_j,p_j,n_actions_i,n_actions_j,I_ll,I_lt,I_tt,rank,lam_min,lam_max,cond,trace_inv,se_lambda,se_tau,I_tau_cond,log_I_tau_cond,tau_informativity,tau_profile_identity_error,weak_channel,weak_share_lambda,weak_share_tau
1,100,500,0.7,100,900,0.5,81,161,900.4134438685891,9.520049217588829,0.1450487900296525,2,0.04438858122628833,900.5141040773924,20287.066610366885,22.529426822417964,0.06023877942961179,4.746135070967829,0.04439354357318037,-3.114661235136207,strong,8.881784197001252e-16,tau,0.00011178633447755607,0.9998882136655224
2,100,900,0.5,100,500,0.7,161,81,3259.918436287965,1.4813454966235957,0.016861872146105735,2,0.016188727887866267,3259.919109432223,201369.68957737496,61.771682921435286,0.017874879489413877,7.8594760264357655,0.01618873123069506,-4.123439881831361,medium,8.881784197001252e-16,tau,2.0649211789841576e-07,0.9999997935078824
3,100,900,0.5,300,500,0.7,161,41,2909.5760673663362,0.2602183416963672,0.0014907108258916265,2,0.0014674381504438555,2909.5760906390115,1982758.9256548586,681.4600697448672,0.018685380250939628,26.104783481221062,0.0014674381621813768,-6.52423714535676,weak,0.0,tau,7.998652195477495e-09,0.999999992001348
4,300,500,0.7,100,900,0.5,41,161,120.5711385096409,1.1081471765340547,0.01058251822069512,2,0.00039770757184718133,120.58132332028975,303190.9167840108,2514.4185553401926,0.46975624226632756,50.14177783458664,0.0003977411667552416,-7.829709099025056,degenerate,1.1368683772161603e-13,tau,8.446452535585547e-05,0.999915535474644
5,300,500,1.5,300,900,1.3,41,121,123.4715692228639,-0.3440419696256019,0.0009885309280785587,2,2.9889952973182095e-05,123.47252786383902,4130904.0524292965,33456.06608933036,0.5175440799019685,182.90926230635702,2.9890185040643913e-05,-10.417980390966816,degenerate,2.842170943040401e-14,tau,7.764004056256521e-06,0.9999922359959434
6,300,900,1.3,300,500,1.5,121,41,1475.3321439351594,0.4287782132023093,0.005233791530340101,2,0.005109174579802893,1475.3322685521098,288761.3733897945,195.72700980314474,0.026350442820664313,13.990222137525476,0.005109175011359785,-5.276717333718169,medium,1.7763568394002505e-15,tau,8.44673330556637e-08,0.9999999155326669
7,300,900,1.3,300,900,1.3,121,121,535.0323278297195,1.9293684793502477,0.0103615712318067,2,0.003404073115679214,535.0392853278356,157176.20249207818,293.7675920297528,0.07542590555669793,17.13948374259049,0.0034041173818497956,-5.682769585360911,medium,0.0,tau,1.3003797240310985e-05,0.9999869962027593
8,300,900,1.3,300,900,1.3,121,121,535.0323278297195,1.9293684793502477,0.0103615712318067,2,0.003404073115679214,535.0392853278356,157176.20249207818,293.7675920297528,0.07542590555669793,17.13948374259049,0.0034041173818497956,-5.682769585360911,medium,0.0,tau,1.3003797240310985e-05,0.9999869962027593
9,100,900,0.5,100,500,1.5,161,81,3211.655410005008,1.565830524766731,0.0022205635053698584,2,0.0014571483715225594,3211.6561734201414,2204069.4250403033,686.2722240572704,0.021782874467119507,26.196788917034286,0.0014571487178888338,-6.5312736856747415,weak,0.0,tau,2.377014969820619e-07,0.999999762298503
10,100,500,1.5,100,900,0.5,81,161,364.31391295706146,3.1823875778061823,0.05038942886916435,2,0.022588627644985163,364.3417137582856,16129.431122796523,44.27280905171868,0.07824747757899482,6.653321455030653,0.02259035138356541,-3.790232393795161,strong,8.881784197001252e-16,tau,7.630892617622026e-05,0.9999236910738241
11,300,900,0.7,100,900,1.3,121,161,1146.322358290715,2.336386527379632,0.006963199665477924,2,0.002201264727961766,1146.3271202256526,520758.4102285962,454.2851695998307,0.0525307986063186,21.313901804104955,0.0022012738722302517,-6.11871905336076,weak,3.552713678800501e-15,tau,4.154088303194672e-06,0.9999958459116967
12,100,900,1.3,300,900,0.7,161,121,864.5047912158471,2.430846496505757,0.024089785766875753,2,0.01725450539712131,864.5116264962169,50103.52986649211,57.957034157609876,0.040186463816139065,7.612845670689498,0.017254641821329977,-4.059674080611689,medium,8.881784197001252e-16,tau,7.906680009973539e-06,0.9999920933199903
13,300,500,0.7,100,900,1.5,41,161,124.3831098006986,1.0790717886200398,0.010619317944894228,2,0.0012578563908645212,124.39247126225263,98892.42696199844,795.011353649406,0.2605167992168159,28.19474214542016,0.0012579510610674343,-6.678271023632748,weak,0.0,tau,7.525822200548258e-05,0.9999247417779946
14,100,900,1.5,300,500,0.7,161,41,1926.9662466568384,1.0868572005957233,0.0019079212542583057,2,0.001294906174034045,1926.9668596719184,1488113.1145346256,772.2572430685127,0.027651834533646072,27.789503026224843,0.0012949065859753613,-6.649316720814406,weak,0.0,tau,3.181245640467806e-07,0.999999681875436
15,100,500,0.7,100,500,1.5,81,81,980.4343986201623,0.9544832907442123,0.005487596198997616,2,0.0045583727962500604,980.4353278435649,215084.49871632236,219.37754853183012,0.03504101499407246,14.811357826313504,0.004558377116525528,-5.3907886143004635,medium,1.7763568394002505e-15,tau,9.477705429921853e-07,0.9999990522294572
16,100,500,1.5,100,500,0.7,81,81,458.96838267036435,1.621880277122738,0.008985981960839603,2,0.0032546192220421263,458.9741140331032,141022.36935266355,307.25778435184765,0.07756013968635497,17.528598597052174,0.0032546598640646324,-5.727667505228856,medium,0.0,tau,1.2487421850957142e-05,0.999987512578149
