game_master,look_up,outcome,deep,shallow,contrast,tau_informativity,se_tau,I_tau_cond,information_rank
1,early,normalized_lookup,0.1453070041967203,0.2643284948667238,-0.11902149067000348,strong,4.746135070967829,0.0443935435731803,3
2,early,normalized_lookup,0.2651368683943643,0.6309880840536072,-0.3658512156592429,medium,7.859476026435765,0.016188731230695,2
3,early,normalized_lookup,-0.10179558681530206,0.35548232198837715,-0.4572779088036792,weak,26.104783481221062,0.0014674381621813,1
4,early,normalized_lookup,0.047349537737031294,0.716544527679106,-0.6691949899420747,degenerate,50.14177783458664,0.0003977411667552,0
5,early,normalized_lookup,-0.07017981924759091,0.4992702531357577,-0.5694500723833485,degenerate,182.90926230635705,2.9890185040643917e-05,0
6,early,normalized_lookup,-0.007235624279108177,0.8154720968177713,-0.8227077210968795,medium,13.990222137525476,0.0051091750113597,2
7,early,normalized_lookup,-0.19580105608417459,0.8270484225161938,-1.0228494786003683,medium,17.13948374259049,0.0034041173818497,2
8,early,normalized_lookup,0.060561276570366085,0.7447833970594825,-0.6842221204891163,medium,17.13948374259049,0.0034041173818497,2
9,early,normalized_lookup,0.21437942246869035,0.6270748682218005,-0.4126954457531101,weak,26.196788917034286,0.0014571487178888,1
10,early,normalized_lookup,0.284732520366812,0.7672580722883879,-0.4825255519215759,strong,6.653321455030653,0.0225903513835654,3
11,early,normalized_lookup,0.0847449465302507,0.558433779857001,-0.4736888333267503,weak,21.313901804104955,0.0022012738722302,1
12,early,normalized_lookup,0.03437293233791906,0.35905370904982387,-0.3246807767119048,medium,7.612845670689498,0.0172546418213299,2
13,early,normalized_lookup,0.1832500900522517,0.5851386402330999,-0.40188855018084824,weak,28.19474214542016,0.0012579510610674,1
14,early,normalized_lookup,0.1735743114758156,0.783174319811185,-0.6096000083353694,weak,27.789503026224843,0.0012949065859753,1
15,early,normalized_lookup,-0.00010458484604633138,0.8221046992895343,-0.8222092841355807,medium,14.811357826313504,0.0045583771165255,2
16,early,normalized_lookup,0.06142270349771225,0.892095713613142,-0.8306730101154297,medium,17.528598597052174,0.0032546598640646,2
1,early,macro_margin,-0.30919502808814264,-0.5555123756805477,0.24631734759240503,strong,4.746135070967829,0.0443935435731803,3
2,early,macro_margin,-0.0662300214688443,-0.20395172148249,0.1377217000136457,medium,7.859476026435765,0.016188731230695,2
3,early,macro_margin,-0.4725575501674973,-0.7083319259834303,0.23577437581593302,weak,26.104783481221062,0.0014674381621813,1
4,early,macro_margin,-0.3070572556823321,-0.11288221839458214,-0.19417503728774999,degenerate,50.14177783458664,0.0003977411667552,0
5,early,macro_margin,-0.3800256045064879,-0.4979561081216039,0.11793050361511598,degenerate,182.90926230635705,2.9890185040643917e-05,0
6,early,macro_margin,-0.24655119297969438,-0.18503597442100145,-0.061515218558692936,medium,13.990222137525476,0.0051091750113597,2
7,early,macro_margin,-0.42211037463592144,-0.09238122335095422,-0.3297291512849672,medium,17.13948374259049,0.0034041173818497,2
8,early,macro_margin,-0.12769863052859506,-0.13277354145592624,0.005074910927331172,medium,17.13948374259049,0.0034041173818497,2
9,early,macro_margin,-0.18315753355108388,0.025153617001471354,-0.20831115055255522,weak,26.196788917034286,0.0014571487178888,1
10,early,macro_margin,-0.03659178696052159,-0.10326263255429231,0.06667084559377073,strong,6.653321455030653,0.0225903513835654,3
11,early,macro_margin,-0.14251825390031259,-0.5192749111729834,0.3767566572726708,weak,21.313901804104955,0.0022012738722302,1
12,early,macro_margin,-0.3618188304494909,-0.37129992018203983,0.009481089732548909,medium,7.612845670689498,0.0172546418213299,2
13,early,macro_margin,-0.08685084989464616,-0.25289806897884154,0.1660472190841954,weak,28.19474214542016,0.0012579510610674,1
14,early,macro_margin,-0.09994803215824725,-0.24413108021641922,0.14418304805817195,weak,27.789503026224843,0.0012949065859753,1
15,early,macro_margin,-0.2608401334402029,-0.08755559006483343,-0.17328454337536947,medium,14.811357826313504,0.0045583771165255,2
16,early,macro_margin,-0.11085614041317028,-0.18647542480991902,0.07561928439674874,medium,17.528598597052174,0.0032546598640646,2
1,late,normalized_lookup,0.15274726336830086,0.17080258565918577,-0.018055322290884912,strong,4.746135070967829,0.0443935435731803,3
2,late,normalized_lookup,0.3856544712018817,0.20174824306997682,0.18390622813190485,medium,7.859476026435765,0.016188731230695,2
3,late,normalized_lookup,0.0013896756170259626,0.31399961631946055,-0.3126099407024346,weak,26.104783481221062,0.0014674381621813,1
4,late,normalized_lookup,0.14505808487859945,0.30057795034013474,-0.1555198654615353,degenerate,50.14177783458664,0.0003977411667552,0
5,late,normalized_lookup,-0.04763798937198932,0.38019194278446206,-0.4278299321564514,degenerate,182.90926230635705,2.9890185040643917e-05,0
6,late,normalized_lookup,0.00612964937411752,0.44163674134260766,-0.43550709196849013,medium,13.990222137525476,0.0051091750113597,2
