game_master,delta_deep_hard,delta_shallow_hard,delta_deep_soft,delta_shallow_soft,delta_contrast_hard,delta_contrast_soft,tau_informativity,se_tau,I_tau_cond,log_I_tau_cond,z_log_I_tau_cond,info_rank
1,0.2724617150067215,-0.2837149026112326,0.31233805802740217,-0.30627667087992316,0.5561766176179541,0.6186147289073254,strong,4.746135070967829,0.0443935435731803,-3.114661235136207,1.6198008540142952,3
2,0.03120875429453488,-0.046083122502236444,0.03029655152312364,-0.04719437381821294,0.07729187679677132,0.07749092534133659,medium,7.859476026435765,0.016188731230695,-4.123439881831361,1.0224025642158725,2
3,-0.01117878976413125,-0.022275974807729873,-0.01053973284963966,-0.023969189576458657,0.011097185043598624,0.013429456726818997,weak,26.104783481221062,0.0014674381621813,-6.52423714535676,-0.39934856432107124,1
4,0.20886409070783432,0.0815502902896089,0.19922308597022925,0.09721263084500811,0.12731380041822543,0.10201045512522114,degenerate,50.14177783458664,0.0003977411667552,-7.829709099025056,-1.1724485055779783,0
5,-0.005414606321964512,-0.005819648186054297,-0.005438283213643285,-0.005784373703643712,0.00040504186408978505,0.0003460904900004268,degenerate,182.90926230635705,2.9890185040643917e-05,-10.417980390966816,-2.705221674801911,0
6,0.052496543786757104,-0.008764045576396222,0.05347890722713538,-0.008144676670259135,0.061260589363153324,0.061623583897394515,medium,13.990222137525476,0.0051091750113597,-5.276717333718169,0.3394321428282135,2
7,0.08459243939096989,0.04605406488516518,0.08602938880018318,0.043854511076495496,0.038538374505804704,0.042174877723687686,medium,17.13948374259049,0.0034041173818497,-5.682769585360911,0.09896817038503256,2
8,0.08981122033136343,0.032870738800198064,0.08168201563845637,0.04428781561557904,0.05694048153116537,0.03739420002287733,medium,17.13948374259049,0.0034041173818497,-5.682769585360911,0.09896817038503256,2
9,-0.06225512985387956,-0.049637226422092624,-0.06581960490102869,-0.043859247120653456,-0.012617903431786932,-0.02196035778037523,weak,26.196788917034286,0.0014571487178888,-6.5312736856747415,-0.403515600534448,1
10,-0.03947437268808669,-0.30908266470857637,-0.04320247153533759,-0.29249900863778666,0.2696082920204897,0.24929653710244906,strong,6.653321455030653,0.0225903513835654,-3.790232393795161,1.2197278983245832,3
11,0.01575869388198487,-0.026162128397252543,0.011006496401110033,-0.021101027107540388,0.041920822279237414,0.03210752350865042,weak,21.313901804104955,0.0022012738722302,-6.11871905336076,-0.15920092099576816,1
12,0.075437061392119,-0.039394414844183226,0.07869022627474502,-0.0388111666180731,0.11483147623630223,0.11750139289281812,medium,7.612845670689498,0.0172546418213299,-4.059674080611689,1.0601646448477893,2
13,0.03308644103453559,-0.027312648782105833,0.031975739514460186,-0.024784415552416013,0.060399089816641424,0.0567601550668762,weak,28.19474214542016,0.0012579510610674,-6.678271023632748,-0.4905673621758412,1
14,0.009291512757676494,0.008760608716762458,0.006353781896834422,0.014075051634883824,0.0005309040409140365,-0.007721269738049402,weak,27.789503026224843,0.0012949065859753,-6.649316720814406,-0.47342063623883784,1
15,0.0296865204550677,0.0315723966858175,0.029178119004275267,0.032280880266947864,-0.0018858762307498028,-0.003102761262672598,medium,14.811357826313504,0.0045583771165255,-5.390788614300464,0.2718791785002796,2
16,0.009077764481961419,-0.04465327406088543,0.0058997102460733135,-0.03841369428384312,0.053731038542846846,0.04431340452991643,medium,17.528598597052174,0.0032546598640646,-5.727667505228856,0.07237964114475966,2
