entropy_epsilon,process_fisher,boundary_information,interior_information,finite_reoptimization_relative_error,minimum_materialized_flow,minimum_boundary_log_dual,maximum_boundary_log_dual,hybrid_kkt_residual,equality_residual,cone_residual
2.5e-05,0.05220762969368837,1.1033407538545855e-08,0.05220761866028079,3.935995033644936e-09,2.2612616772476735e-265,0.0006144926585534932,0.015085325502779273,3.326228181776969e-13,5.551115123125783e-17,-1.0400683010218806e-05
3.5e-05,0.05150102070691739,5.890920446143088e-06,0.051495129786471236,4.281014444567151e-09,1.3297377760080219e-190,0.0006169834163814173,0.015093752775377514,1.7860157797144893e-12,1.1102230246251565e-16,-1.0409460251020296e-05
5e-05,0.051039975524050894,0.0005295928159741964,0.050510382708076694,7.102901585856332e-08,1.5892341115004535e-134,0.0006207497872971354,0.015106352182071547,6.661338147750939e-16,1.1102230246251565e-16,-1.0422470164864499e-05
7.5e-05,0.06035398445927046,0.011487423385980676,0.04886656107328978,7.789464259508262e-07,6.567305594031663e-91,0.0006312259709185702,0.015127277490829679,5.551115123125783e-16,5.551115123125783e-17,-1.044375848703218e-05
0.0001,0.07443687808973798,0.02732882161668461,0.0471080564730534,3.7152793737010276e-07,4.220731955586561e-69,0.0006604222143940002,0.015148225624392107,6.661338147750939e-16,5.551115123125783e-17,-1.04645750222034e-05
0.00015,0.07151127792047654,0.026990837268807723,0.04452044065166884,1.3944800847437894e-07,2.7121847816654035e-47,0.0007674584651572328,0.015190145738649163,8.326672684688674e-15,2.7755575615628914e-16,-1.0505520004896617e-05
0.0002,0.06488932790731138,0.022200689028501367,0.04268863887881001,7.59814674909331e-08,2.1773900556697712e-36,0.000892630847155781,0.015231765959985573,5.551115123125783e-16,5.551115123125783e-17,-1.0547295437390585e-05
0.0003,0.06288348650133398,0.023376450128003986,0.03950703637333256,9.17354841853163e-08,1.751626171080996e-25,0.0010990600784614756,0.015314392835191554,1.8774981569436022e-12,6.072919944699606e-14,-1.0632868951641388e-05
0.0004,0.06452904210267837,0.028167667932552678,0.03636137417012573,9.390439495654952e-08,4.95408062320751e-20,0.0012036109048150583,0.01539815345764436,2.930988785010413e-14,9.43689570931383e-16,-1.0704410659571945e-05
0.0005,0.06620384486848438,0.03290190603083525,0.033301938837649134,8.105031800327082e-08,9.18273599310925e-17,0.0013069635116356427,0.015485257385868175,7.251144129583054e-15,3.3306690738754696e-16,-1.0751652809296882e-05
0.0006,0.0659676931564394,0.03542701695903215,0.030540676197407256,4.449867052620721e-08,1.3754156322129993e-14,0.0014031498491831906,0.015576797236819312,4.440892098500626e-16,1.1102230246251565e-16,-1.0798335014403325e-05
0.00075,0.06220709125283301,0.0351620914707177,0.0270449997821153,3.452985683939732e-08,2.0369757076753067e-12,0.0015321425667353319,0.01572258622036893,7.771561172376096e-16,5.551115123125783e-17,-1.0867565665196554e-05
0.001,0.0542479191657797,0.03176294109048961,0.022484978075290124,3.1879556983207326e-08,2.956706467675365e-10,0.001709754800649589,0.015985668350462067,3.3084646133829665e-14,1.0547118733938987e-15,-1.0980260132265566e-05
0.0015,0.04364317064684435,0.027535917833796872,0.01610725281304748,2.5769573290873246e-08,4.1162142978491614e-08,0.0019562157927370005,0.016574460378415597,4.440892098500626e-16,5.551115123125783e-17,-1.1191343515262637e-05
0.002,0.03784386283278395,0.025911556286653998,0.011932306546129973,2.4051151670061808e-08,4.687624459296651e-07,0.002099443515230058,0.017234126196456086,5.81756864903582e-14,1.4432899320127035e-15,-1.1380994988031612e-05
0.0025,0.03400139486260103,0.0248095713067369,0.009191823555864127,2.000367053547513e-08,1.970993016213712e-06,0.0021707293135605323,0.017952166156502317,1.1102230246251565e-15,5.551115123125783e-17,-1.1550537151632474e-05
