case,family,required,all_pass,n_grid,n_steps,entropy_epsilon,lower_bound,objective,endpoint_error,process_fisher,implicit_derivative_error,active_bounds,active_cones,minimum_active_multiplier,reduced_hessian_min_eigenvalue
regularization_0,regularization,True,True,7,8,0.0,1e-12,0.15134683288635212,5.551115123125783e-17,0.05425810693703594,1.9742101482643878e-08,22,0,0.0006081249170328817,0.08005692675701478
regularization_0.0005,regularization,False,False,7,8,0.0005,1e-12,0.15145675403242603,5.551115123125783e-17,,,7,0,-0.003605088795223421,0.07104655027891203
regularization_0.001,regularization,True,True,7,8,0.001,1e-12,0.15156268071780432,5.551115123125783e-17,0.05424791918464912,9.233649346638239e-09,0,0,,0.06500406692044093
regularization_0.0025,regularization,True,True,7,8,0.0025,1e-12,0.15186101917238373,1.0126448291014611e-16,0.034001394851757856,3.596919790932086e-07,0,0,,0.07799953717157525
regularization_0.005,regularization,True,True,7,8,0.005,1e-12,0.1523180989646405,1.8041124150158794e-16,0.022740293100292422,1.5805544257206996e-09,0,0,,0.10479766533950592
regularization_0.01,regularization,True,True,7,8,0.01,1e-12,0.1531429511021978,2.7560419224581523e-16,0.013654861148887882,1.1388374374024996e-10,0,0,,0.15503472027951415
active_floor_1e-10,active_floor,True,True,7,8,0.0,1e-10,0.15134683289988346,1.3574211199518516e-16,0.05425812877508297,1.9743026728072476e-08,22,0,0.0006081251652150232,0.08005692805587031
active_floor_1e-14,active_floor,True,True,7,8,0.0,1e-14,0.1513468328862167,2.6454533008646308e-17,0.054258106724157915,1.973398842792921e-08,22,0,0.0006081249157854351,0.08005692674625861
diagonal_9_by_10,diagonal_refinement,True,True,9,10,0.005,1e-12,0.15221287166193417,5.551115123125783e-17,0.020054530493620992,3.529485519970163e-11,0,0,,0.03734357067399108
diagonal_11_by_12,diagonal_refinement,True,True,11,12,0.005,1e-12,0.15232456871760644,6.938893903907228e-18,0.020149686238903952,5.173165549346275e-11,0,0,,0.033600187186902775
time_7_by_12,time_refinement,True,True,7,12,0.005,1e-12,0.1538619870761539,1.1102230246251565e-16,0.026836430451354237,2.656040809350748e-08,0,0,,0.08751117249835337
time_7_by_16,time_refinement,True,True,7,16,0.005,1e-12,0.15464191610417544,1.3877787807814457e-17,0.030010230492588764,1.7280351277408998e-07,0,0,,0.07598427837772635
sender_receiver_G2,game_anchor,True,True,7,8,0.005,1e-12,0.28602529409264865,1.294103713078698e-15,0.0010448741529622385,2.7531721043678384e-08,21,6,0.031213719642918747,0.939183128991251
